source_rank,company_name,domain,api_name,event_headline,event_url,event_date,event_type,source_publisher,relevance_confidence,source_field,raw_response_path
7,Samsung Electronics,samsung.com,Exa Search API,Samsung units to acquire $408 mil. stake in operator of Korea's largest crypto exchange - The Korea Times,https://www.koreatimes.co.kr/business/companies/20260528/samsung-units-to-acquire-408-mil-stake-in-operator-of-koreas-largest-crypto-exchange,2026-05-28,M&A,koreatimes.co.kr,0.55,results.7,raw/exa/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Exa Search API,Samsung Electronics Announces New Leadership at the Visual ...,https://news.samsung.com/ca/samsung-electronics-announces-new-leadership-at-the-visual-display-business,2026-06-04,leadership,news.samsung.com,0.95,results.8,raw/exa/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Exa Search API,Samsung is buying a $408 million stake in South Korea’s biggest crypto exchange,https://www.coindesk.com/business/2026/05/28/samsung-is-buying-a-usd446-million-stake-in-south-korea-s-biggest-crypto-exchange,2026-05-28,other,coindesk.com,0.45,results.9,raw/exa/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Exa Search API,SK hynix and NVIDIA Announce Multi-year Technology Partnership ...,https://news.skhynix.com/multi-year-tech-partnership-with-nvidia/,2026-06-07,partnership,news.skhynix.com,0.95,results.0,raw/exa/data/sk_hynix.json
8,SK Hynix,skhynix.com,Exa Search API,New Facility Investment for Yongin Semiconductor Cluster,https://news.skhynix.com/new-facility-investment-for-yongin-semiconductor-cluster/,2026-02-25,funding,news.skhynix.com,0.70,results.1,raw/exa/data/sk_hynix.json
8,SK Hynix,skhynix.com,Exa Search API,"SK, Nvidia form ‘long-term' partnership for chip design, AI infrastructure - The Korea Times",https://www.koreatimes.co.kr/business/tech-science/20260608/sk-nvidia-form-long-term-partnership-for-chip-design-ai-infrastructure,2026-06-08,partnership,koreatimes.co.kr,0.55,results.2,raw/exa/data/sk_hynix.json
8,SK Hynix,skhynix.com,Exa Search API,SK hynix okays $16 bn investment into Yongin chip facility to stay ahead in HBM race | AJU PRESS,https://www.ajupress.com/view/20260225194340984,2026-02-25,funding,ajupress.com,0.80,results.3,raw/exa/data/sk_hynix.json
8,SK Hynix,skhynix.com,Exa Search API,SK hynix and Sandisk Begin Global Standardization of Next-Generation Memory ‘HBF',https://news.skhynix.com/sk-hynix-and-sandisk-begin-global-standardization-ofnext-generation-memory-hbf/,2026-02-25,other,news.skhynix.com,0.85,results.4,raw/exa/data/sk_hynix.json
8,SK Hynix,skhynix.com,Exa Search API,Introducing Launch of ‘AI Company’ Focusing on AI Solutions,https://news.skhynix.com/sk-hynix-launches-ai-company-focusing-on-ai-solutions/,2026-01-28,launch,news.skhynix.com,0.70,results.5,raw/exa/data/sk_hynix.json
8,SK Hynix,skhynix.com,Exa Search API,SK hynix Breaks Ground on $3.87 Billion US Chip Fab - Seoul Economic Daily,https://en.sedaily.com/news/2026/04/21/sk-hynix-breaks-ground-on-387-billion-us-chip-fab,2026-04-21,other,en.sedaily.com,0.70,results.6,raw/exa/data/sk_hynix.json
